"Localidade";"Ano";"Frota de Veículos - Total (número)";"População - Projeção  - Masculina - Total -UFRN (habitantes)";"Frota de Veículos - Automóvel (número)";"População - Projeção  - Feminina - Total - UFRN (habitantes)";"Frota de Veículos - Motocicleta (número)";"Frota de Veículos - Ônibus (número)"
"Uruana";"2015";" 7.751 ";"7028";" 3.178 ";"6784";" 2.104 ";" 14 "
"Uruana";"2016";" 8.208 ";"6994";" 3.390 ";"6743";" 2.168 ";" 18 "
"Uruana";"2017";" 8.482 ";"6956";" 3.472 ";"6700";" 2.215 ";" 19 "
"Uruana";"2018";"8.771";"6918";"3.608";"6657";"2.248";"22"
"Uruana";"2019";"9.050";"6877";"3.750";"6611";"2.282";"22"
"Uruana";"2020";"9.369";"6833";"3.923";"6563";"2.322";"22"
"Uruana";"2021";"9.625";"6782";"4.055";"6509";"2.333";"23"
"Uruana";"2022";"9.862";"6727";"4.136";"6453";"2.379";"23"
"Uruana";"2023";"10.182";"6671";"4.198";"6394";"2.430";"24"
"Uruana";"2024";"10.590";"6612";"4.275";"6334";"2.503";"25"
"Urutaí";"2014";"1.062";"1575";"504";"1547";"269";"10"
"Urutaí";"2015";" 1.243 ";"1572";" 622 ";"1551";" 291 ";" 10 "
"Urutaí";"2016";" 1.348 ";"1565";" 666 ";"1549";" 310 ";" 10 "
"Urutaí";"2017";" 1.416 ";"1558";" 710 ";"1548";" 312 ";" 10 "
"Urutaí";"2018";"1.491";"1551";"732";"1546";"324";"11"
"Urutaí";"2019";"1.557";"1543";"760";"1545";"340";"11"
"Urutaí";"2020";"1.645";"1536";"800";"1544";"356";"11"
"Urutaí";"2021";"1.713";"1526";"827";"1539";"365";"12"
"Urutaí";"2022";"1.740";"1515";"833";"1533";"367";"11"
"Urutaí";"2023";"1.761";"1505";"842";"1528";"376";"12"
"Urutaí";"2024";"1.802";"1494";"868";"1522";"375";"12"
"Valparaíso de Goiás";"2014";"32.038";"74295";"19.311";"78662";"4.892";"220"
"Valparaíso de Goiás";"2015";" 33.653 ";"76500";" 19.937 ";"81047";" 5.255 ";" 243 "
"Valparaíso de Goiás";"2016";" 34.434 ";"78683";" 19.851 ";"83405";" 5.430 ";" 254 "
"Valparaíso de Goiás";"2017";" 35.069 ";"80857";" 19.918 ";"85762";" 5.548 ";" 268 "
"Valparaíso de Goiás";"2018";"36.044";"83067";"20.315";"88163";"5.727";"286"
"Valparaíso de Goiás";"2019";"37.044";"85269";"20.654";"90565";"5.991";"296"
"Valparaíso de Goiás";"2020";"38.730";"87457";"21.057";"92961";"6.253";"296"
"Valparaíso de Goiás";"2021";"40.439";"89645";"21.126";"95352";"6.511";"295"
"Valparaíso de Goiás";"2022";"41.321";"91818";"21.095";"97736";"6.945";"277"
"Valparaíso de Goiás";"2023";"42.181";"93971";"21.162";"100109";"7.454";"263"
"Valparaíso de Goiás";"2024";"43.026";"96099";"21.048";"102467";"8.025";"257"
"Varjão";"2014";"1.676";"1874";"699";"1840";"592";"8"
"Varjão";"2015";" 1.807 ";"1874";" 747 ";"1844";" 624 ";" 8 "
"Varjão";"2016";" 1.952 ";"1866";" 811 ";"1841";" 670 ";" 8 "
"Varjão";"2017";" 2.019 ";"1859";" 851 ";"1838";" 669 ";" 9 "
"Varjão";"2018";"2.076";"1852";"880";"1836";"678";"8"
"Varjão";"2019";"2.121";"1847";"908";"1835";"670";"9"
"Varjão";"2020";"2.173";"1842";"943";"1834";"672";"9"
"Varjão";"2021";"2.276";"1830";"977";"1827";"684";"9"
"Varjão";"2022";"2.381";"1819";"1.018";"1820";"708";"9"
"Varjão";"2023";"2.461";"1809";"1.033";"1814";"727";"9"
"Varjão";"2024";"2.587";"1800";"1.073";"1807";"755";"9"
"Vianópolis";"2014";"7.488";"6557";"3.552";"6551";"1.393";"41"
"Vianópolis";"2015";" 8.232 ";"6592";" 3.922 ";"6596";" 1.499 ";" 39 "
"Vianópolis";"2016";" 8.843 ";"6618";" 4.189 ";"6637";" 1.550 ";" 43 "
"Vianópolis";"2017";" 9.186 ";"6641";" 4.336 ";"6674";" 1.586 ";" 50 "
"Vianópolis";"2018";"9.559";"6663";"4.483";"6710";"1.646";"54"
"Vianópolis";"2019";"10.024";"6682";"4.683";"6742";"1.693";"56"
"Vianópolis";"2020";"10.678";"6699";"4.954";"6771";"1.758";"54"
"Vianópolis";"2021";"11.316";"6710";"5.177";"6797";"1.836";"54"
"Vianópolis";"2022";"11.908";"6717";"5.303";"6820";"1.893";"66"
"Vianópolis";"2023";"12.527";"6722";"5.527";"6839";"1.956";"76"
"Vianópolis";"2024";"12.946";"6723";"5.666";"6855";"2.026";"101"
"Vicentinópolis";"2014";"4.151";"4217";"1.360";"3798";"994";"61"
"Vicentinópolis";"2015";" 4.649 ";"4285";" 1.517 ";"3860";" 1.058 ";" 65 "
"Vicentinópolis";"2016";" 4.801 ";"4349";" 1.611 ";"3915";" 1.067 ";" 67 "
"Vicentinópolis";"2017";" 4.814 ";"4411";" 1.666 ";"3968";" 1.083 ";" 67 "
"Vicentinópolis";"2018";"4.988";"4472";"1.770";"4022";"1.068";"76"
"Vicentinópolis";"2019";"5.212";"4531";"1.860";"4075";"1.098";"80"
"Vicentinópolis";"2020";"5.483";"4588";"1.998";"4128";"1.120";"84"
"Vicentinópolis";"2021";"5.771";"4643";"2.116";"4175";"1.148";"86"
"Vicentinópolis";"2022";"6.047";"4695";"2.204";"4220";"1.167";"97"
"Vicentinópolis";"2023";"6.254";"4745";"2.294";"4264";"1.206";"101"
"Vicentinópolis";"2024";"6.418";"4792";"2.350";"4307";"1.219";"111"
"Vila Boa";"2014";"603";"3011";"272";"2416";"162";"21"
"Vila Boa";"2015";" 699 ";"3120";" 323 ";"2484";" 184 ";" 23 "
"Vila Boa";"2016";" 723 ";"3210";" 341 ";"2541";" 187 ";" 23 "
"Vila Boa";"2017";" 734 ";"3305";" 343 ";"2598";" 186 ";" 29 "
"Vila Boa";"2018";"766";"3405";"346";"2658";"195";"34"
"Vila Boa";"2019";"810";"3512";"363";"2720";"204";"35"
"Vila Boa";"2020";"856";"3623";"381";"2784";"210";"36"
"Vila Boa";"2021";"895";"3713";"408";"2840";"212";"36"
"Vila Boa";"2022";"950";"3807";"435";"2895";"213";"39"
"Vila Boa";"2023";"1.012";"3906";"449";"2952";"232";"42"
"Vila Boa";"2024";"1.074";"4009";"477";"3009";"246";"38"
"Vila Propício";"2014";"617";"2815";"269";"2555";"128";"24"
"Vila Propício";"2015";" 718 ";"2834";" 321 ";"2575";" 143 ";" 23 "
"Vila Propício";"2016";" 789 ";"2849";" 352 ";"2583";" 155 ";" 25 "
"Vila Propício";"2017";" 854 ";"2863";" 379 ";"2593";" 170 ";" 28 "
"Vila Propício";"2018";"906";"2876";"407";"2605";"174";"28"
"Vila Propício";"2019";"986";"2889";"434";"2618";"195";"30"
"Vila Propício";"2020";"1.041";"2901";"464";"2632";"203";"30"
"Vila Propício";"2021";"1.124";"2911";"513";"2637";"221";"30"
"Vila Propício";"2022";"1.225";"2919";"553";"2643";"231";"31"
"Vila Propício";"2023";"1.331";"2926";"585";"2650";"248";"30"
"Vila Propício";"2024";"1.438";"2932";"634";"2659";"259";"29"
